name,title,content,number,address,price,district_id
総合スポーツクラブ ニッコースポーツ,おとなからこどもまで楽しめるアットホームなスポーツクラブ！,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。,06-1111-1111,〒547-0041 大阪府大阪市平野区,5500,11
Real-ize（リアル アイズ）,ただいま入会金無料キャンペーン！,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ,06-1111-1111,〒547-0027 大阪府大阪市,5400,12
ボディビルジム ソティックジム,大阪屈指のハードコアジムです。パーソナルトレーニングもしてます。,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。,06-1111-1111,〒545-0005 大阪市阿倍野区三明町12000,13
FiT24(フィット24) 城東古市店,“満足をそろえた”24時間トレーニングジム。,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。,06-1111-1111,〒536-0001 大阪府大阪市城東区古市,8000,14
キックボクシング専門パーソナルトレーニングジムSTYLE 天満橋店,RIZIN目指しましょう！,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。,06-1111-1111,〒540-0012 大阪府大阪市中央区谷町,7600,15
今福阪奈ゴルフガーデン,女性の会員が多いゴルフクラブです！,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ,06-1111-1111,〒536-0002 大阪府大阪市城東区今福東,9000,16
美・BODY・ヨガ Venus（ヴィーナス）,ただいまヨガのレッスン無料です！,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。,06-1111-1111,〒536-0005 大阪府大阪市城東区中央,3000,17
総合格闘技スタジオSTYLE,ボクシングから始まりレスリング、相撲まで多様な格闘技が学べます。,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。,06-1111-1111,〒536-0008 大阪府大阪市城東区関目,13000,18
パーソナル専門ジム・アクア,お客様の理想の体にコミット！,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ,06-1111-1111,大阪府大阪市城東区古市1-1-1,8200,19
クライミングクラブ大阪,大阪で最大規模のクライミングクラブです！初心者の方も大歓迎,この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ、量、字間、行間等を確認するために入れています。この文章はダミーです。文字の大きさ,06-0000-0000,大阪府大阪市城東区放出西1-1-1,9700,20
